127.0.0.1 - - [27/Sep/2023:14:32:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/ HTTP/1.1" 200 5197
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/%EC%88%98%EC%A0%95left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/%EC%88%98%EC%A0%95right.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/%EA%B1%B4%EB%AC%BC9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:35 +0900] "GET /whereismyhome-s10-d06-backend/img/search%20(2).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:38 +0900] "GET /whereismyhome-s10-d06-backend/member?action=mvLogin HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:38 +0900] "GET /whereismyhome-s10-d06-backend/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:38 +0900] "GET /whereismyhome-s10-d06-backend/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:41 +0900] "POST /whereismyhome-s10-d06-backend/member?action=login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:33:41 +0900] "GET /whereismyhome-s10-d06-backend/ HTTP/1.1" 200 5197
